JOB ID,TEST STATUS,TEST END,TEST SUBMISSION ID,FAILED COMMENTS,SCRIPT NAME,SUITE NAME,CHANGED BY,ANALYSIS,ANALYSED BY,CATEGORY,TEST INFO ID,TICKET NUMBER,UPDATED TIME
370256,FAILED,5/25/2021 13:15,9365395,"Ignoring because of core pattern rule ID 2,2",vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370216,ABORTED,5/25/2021 13:58,9365542,Updated on 2021-05-25 21:12:48 by: rukeshd reason: test aborted,Infra_l2_l3_mpls_fw_vbrackla_split,brackla_basic_platform_sanity,rukeshd,,,,,,
370427,FAILED,5/25/2021 13:28,503430,,,unit-test,,,,,,,
370331,FAILED,5/25/2021 13:53,499954,,,S2C_HILLSIDE_CHASSIS_FEB_RESTART,,,,,,,
370331,FAILED,5/25/2021 13:02,9364854,,platform_mts_chassis_restarts_fru_qfx5700,S2C_HILLSIDE_CHASSIS_FEB_RESTART,,,,,,,
370289,ABORTED,5/25/2021 13:48,9365445,,avpn_ts_ikev2_basic_2_virtual_PCT_FCC,S2C-SRX-VSRX-VPN-AutoVPN-P2P-TrafficSelector_IKED,,,,,,,
370288,ABORTED,5/25/2021 13:48,9365444,,vsrx3_vpn_avpn_drp_ikev2_natt_ipv4_7_pct,S2C-SRX-VSRX-VPN-NATT_IKED,,,,,,,
370411,FAILED,5/25/2021 12:49,9365250,Ignoring because of core pattern rule ID 2,vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370418,FAILED,5/25/2021 12:50,9365213,,vRedbull_chassisd_test.pl_126972_Default,redbull_basic_platform_sanity,,,,,,,
370362,FAILED,5/25/2021 13:58,9365341,,bfd_sanity_auth.pl_2401_Default,RPD_PC_BFD,,,,,,,
370362,FAILED,5/25/2021 14:17,9365334,Ignoring because of core pattern rule ID 1,bfd_rsvp_multihop_mts001.robot_201r1_tpi53199_virtual_mx,RPD_PC_BFD_MTS,pct-admin,,,,,,
370362,FAILED,5/25/2021 16:01,9365334,Ignoring because of core pattern rule ID 1,bfd_mpls_multihop_mts_001.robot_201r1_tpi53199_virtual_ferrari,RPD_PC_BFD_MTS,pct-admin,,,,,,
370362,ABORTED,5/25/2021 12:57,9365334,This script is not supported for this Branch/Release,BFD_PIMv6_SINGLEHOP_VMX,RPD_PC_BFD_MTS,pct-admin,,,,,,
370324,ABORTED,5/25/2021 13:26,9365290,Updated on 2021-05-25 14:18:07 by: rbangera reason: Test aborted due to topology failure,Infra_l2_l3_mpls_fw_vbrackla_split,brackla_basic_platform_sanity,rbangera,,,,,,
370411,FAILED,5/25/2021 12:25,9365110,"Ignoring because of core pattern rule ID 2,2",vMX_ZT_chassisd_test.pl_86042_Default,ferrari_basic_platform_sanity,pct-admin,,,,,,
370337,ABORTED,5/25/2021 12:37,9365028,,link_metric_default.pl_193r1evo_rli38534_virtual_scapa,VIRTUAL_SCAPA_PCT_PFE_RLI38534_L3FWD_3,,,,,,,
369982,FAILED,5/25/2021 13:20,9365219,3 out of 3 users analyzed,toxicity_check_CD_CI_Restart_Demones.pl_129739_Default,PHY_PLATFORM_ODIN_BATCH,,,,,,,
